 SHA,PCT,PRACTICE,BNF CODE,BNF NAME                                    ,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
Q30,5D7,A86003,0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F   ,18,52.24,48.71,10000,201206
Q30,5D7,A86003,0101010N0AAAAAA,Antacid/Oxetacaine_Oral Susp S/F        ,1,97.42,89.77,300,201206
Q30,5D7,A86003,0101010R0AAABAB,Simeticone_Susp 40mg/ml S/F             ,2,4.9,4.58,100,201206
Q30,5D7,A86003,0101021B0AAAHAH,Gppe Liq_Gaviscon S/F                   ,2,4.45,4.17,1000,201206
Q30,5D7,A86003,0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp (Aniseed) S/F ,3,11.8,10.97,1300,201206
Q30,5D7,A86003,0101021B0BCAAAC,Gastrocote_Tab                          ,2,14.04,13,400,201206
Q30,5D7,A86003,0101021B0BEADAJ,Gaviscon Infant_Sach 2g (Dual Pack) S/F ,6,65.78,60.79,330,201206
Q30,5D7,A86003,0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) S/F      ,14,85.8,79.49,9450,201206
Q30,5D7,A86003,0101021B0BEAKAQ,Gaviscon Advance_Liq (Peppermint) S/F   ,11,55.76,51.71,5850,201206
Q30,5D7,A86003,0101021B0BEAQAP,Gaviscon Advance_Tab Chble 500mg Mint   ,4,21.76,20.17,480,201206
